,tier,blue_kill,blue_firstBlood,blue_gold,blue_towers,blue_firstTower,blue_firstDragon,first_dragon,blue_firstRiftHerald,gold_diff,rift_herald,dragons_count,fire_dragon,water_dragon,air_dragon,earth_dragon,blue_win
0,BRONZE,7,1,20790,0,1,0,,1,-5474,0,0,0,0,0,0,0
1,BRONZE,18,1,26615,1,1,0,,0,5146,0,0,0,0,0,0,1
2,BRONZE,12,1,22777,0,1,1,,0,2629,0,0,0,0,0,0,1
3,BRONZE,17,1,25239,0,1,1,,1,4310,0,0,0,0,0,0,1
4,BRONZE,15,1,24682,0,1,1,FIRE_DRAGON,0,1242,0,1,1,0,0,0,1
5,BRONZE,12,1,21110,0,0,0,,0,-1874,0,0,0,0,0,0,0
6,BRONZE,12,1,24295,0,1,1,AIR_DRAGON,0,4266,0,1,0,0,1,0,1
7,BRONZE,14,1,23113,0,0,0,,0,-591,0,0,0,0,0,0,0
8,BRONZE,9,1,22194,0,1,1,AIR_DRAGON,1,712,1,1,0,0,1,0,0
9,BRONZE,8,1,21283,0,0,0,,0,-1257,0,0,0,0,0,0,0
10,BRONZE,13,1,27405,2,1,1,FIRE_DRAGON,1,10049,0,2,1,0,1,0,1
11,BRONZE,12,0,23271,0,1,0,,0,-484,0,1,0,1,0,0,1
12,BRONZE,4,0,18613,0,0,0,,0,-9052,0,0,0,0,0,0,0
13,BRONZE,10,1,22054,0,0,1,WATER_DRAGON,1,-3553,1,1,0,1,0,0,1
14,BRONZE,10,0,24235,2,1,0,,1,3957,1,0,0,0,0,0,1
15,BRONZE,12,1,25658,1,1,0,,0,5787,0,0,0,0,0,0,1
16,BRONZE,8,1,22211,1,1,1,AIR_DRAGON,1,-2033,1,1,0,0,1,0,0
17,BRONZE,9,0,22119,0,0,0,,0,1626,0,1,0,1,0,0,0
18,BRONZE,9,0,21021,0,0,0,,1,-1513,1,0,0,0,0,0,1
19,BRONZE,16,0,25112,0,0,1,WATER_DRAGON,1,-203,1,1,0,1,0,0,1
20,BRONZE,8,1,22731,0,0,0,,0,1045,0,0,0,0,0,0,1
21,BRONZE,14,1,22569,0,1,0,,0,1572,0,0,0,0,0,0,0
22,BRONZE,14,0,24883,0,1,0,,0,3600,0,0,0,0,0,0,1
23,BRONZE,2,0,17334,0,0,1,FIRE_DRAGON,0,-2932,0,1,1,0,0,0,0
24,BRONZE,10,0,22004,0,0,1,FIRE_DRAGON,1,-915,1,1,1,0,0,0,0
25,BRONZE,3,0,17846,0,0,1,EARTH_DRAGON,0,-4551,0,1,0,0,0,1,0
26,BRONZE,15,1,24785,0,0,0,,0,1571,0,0,0,0,0,0,0
27,BRONZE,5,0,19809,0,0,0,,1,-6385,1,0,0,0,0,0,0
28,BRONZE,3,0,19372,0,0,1,,1,-4779,1,0,0,0,0,0,0
29,BRONZE,17,1,26956,0,1,1,EARTH_DRAGON,0,4815,0,1,0,0,0,1,0
30,BRONZE,9,0,23052,1,1,0,,1,1623,1,0,0,0,0,0,1
31,BRONZE,2,1,18695,0,0,0,,0,-4968,0,1,1,0,0,0,0
32,BRONZE,3,0,18247,0,0,0,,0,-4733,0,0,0,0,0,0,0
33,BRONZE,7,0,19429,0,0,0,,1,-3434,1,0,0,0,0,0,0
34,BRONZE,5,0,20931,0,1,0,,0,-2162,0,0,0,0,0,0,0
35,BRONZE,11,0,22987,0,0,1,AIR_DRAGON,0,-4514,0,1,0,0,1,0,1
36,BRONZE,6,0,19952,0,0,1,AIR_DRAGON,1,-3964,1,1,0,0,1,0,0
37,BRONZE,6,1,20087,0,0,1,EARTH_DRAGON,1,-2063,0,1,0,0,0,1,0
38,BRONZE,11,1,23922,0,1,0,,1,2295,1,0,0,0,0,0,1
39,BRONZE,8,0,19969,0,0,0,,1,-10188,1,0,0,0,0,0,0
40,BRONZE,8,1,20667,0,0,0,,0,-5893,0,0,0,0,0,0,0
41,BRONZE,8,1,22058,0,1,1,EARTH_DRAGON,0,1516,0,1,0,0,0,1,1
42,BRONZE,9,0,21397,0,0,0,,0,-1113,0,0,0,0,0,0,0
43,BRONZE,9,0,21389,0,0,0,,1,-6279,0,1,1,0,0,0,0
44,BRONZE,9,1,23060,0,0,1,AIR_DRAGON,0,1059,0,1,0,0,1,0,1
45,BRONZE,6,0,21207,0,1,0,,1,958,1,0,0,0,0,0,0
46,BRONZE,7,0,20198,0,0,0,,0,-3736,0,0,0,0,0,0,0
47,BRONZE,10,1,24957,2,1,1,EARTH_DRAGON,0,8477,0,1,0,0,0,1,1
48,BRONZE,10,1,23196,1,1,1,FIRE_DRAGON,0,-2995,0,1,1,0,0,0,0
49,BRONZE,8,0,21504,2,1,0,,1,-2796,1,0,0,0,0,0,0
50,BRONZE,6,0,20442,0,0,1,AIR_DRAGON,0,-2268,0,1,0,0,1,0,1
51,BRONZE,15,1,27589,2,1,1,FIRE_DRAGON,1,9672,1,2,1,0,1,0,1
52,BRONZE,9,1,22138,1,1,1,FIRE_DRAGON,1,1183,0,1,1,0,0,0,1
53,BRONZE,10,0,21759,0,0,0,,0,3747,0,0,0,0,0,0,1
54,BRONZE,5,0,18742,0,0,1,AIR_DRAGON,1,-3715,0,1,0,0,1,0,0
55,BRONZE,12,0,22538,0,1,1,,0,2656,0,0,0,0,0,0,1
56,BRONZE,9,1,22952,2,1,0,,1,-743,1,0,0,0,0,0,0
57,BRONZE,6,1,19719,0,0,1,FIRE_DRAGON,0,-7574,0,1,1,0,0,0,0
58,BRONZE,9,1,19574,0,0,1,WATER_DRAGON,0,-3476,0,1,0,1,0,0,0
59,BRONZE,15,1,26940,1,0,1,AIR_DRAGON,0,4249,0,1,0,0,1,0,0
60,BRONZE,2,0,18976,0,0,0,,1,-5001,1,1,0,0,1,0,0
61,BRONZE,5,1,19743,0,0,1,,0,-2496,0,0,0,0,0,0,1
62,BRONZE,13,1,26253,1,1,1,FIRE_DRAGON,1,5209,1,1,1,0,0,0,0
63,BRONZE,19,1,28472,2,1,1,EARTH_DRAGON,1,9408,1,2,0,0,1,1,1
64,BRONZE,11,0,22643,0,0,1,AIR_DRAGON,0,-790,0,1,0,0,1,0,0
65,BRONZE,7,0,18717,0,0,0,,0,-9032,0,0,0,0,0,0,0
66,BRONZE,5,1,20141,0,0,1,AIR_DRAGON,1,-1971,0,1,0,0,1,0,0
67,BRONZE,15,1,25335,0,1,1,WATER_DRAGON,0,2547,0,2,0,1,0,1,1
68,BRONZE,9,0,21235,0,0,0,,0,-624,0,0,0,0,0,0,1
69,BRONZE,11,0,21296,0,0,1,EARTH_DRAGON,1,-3907,0,1,0,0,0,1,0
70,BRONZE,12,0,21736,0,0,1,AIR_DRAGON,0,-3413,0,1,0,0,1,0,1
71,BRONZE,14,1,24637,0,1,1,FIRE_DRAGON,1,6219,1,1,1,0,0,0,1
72,BRONZE,5,1,21489,0,0,1,EARTH_DRAGON,0,526,0,1,0,0,0,1,1
73,BRONZE,11,1,24030,0,1,1,FIRE_DRAGON,0,3743,0,1,1,0,0,0,1
74,BRONZE,7,0,24673,2,1,0,,1,6053,1,0,0,0,0,0,1
75,BRONZE,3,1,18434,0,0,0,,0,-2332,0,0,0,0,0,0,0
76,BRONZE,6,0,19991,0,0,0,,0,-2689,0,0,0,0,0,0,0
77,BRONZE,11,0,24209,0,1,1,EARTH_DRAGON,0,2235,0,1,0,0,0,1,1
78,BRONZE,2,1,16180,0,0,0,,0,-11816,0,0,0,0,0,0,0
79,BRONZE,12,1,25059,1,1,0,,1,4774,1,0,0,0,0,0,1
80,BRONZE,4,0,19183,0,0,0,,0,-4911,0,0,0,0,0,0,0
